Content,Date Published,COM+,SHR,LDR,DIS,LIK,SUBL,SUBG,RETV,NEWV,AVV,UQV,APV,AVD,AVDS,VIEWS,WT,SUBG,IMP,CTR
MCAT Study 48,5/31/2024,2,0,100,0,2,0,0,0,0,0,0,0.85,0:00:56,56,52,0.8144,0,3174,1.13
MCAT Study 49,5/31/2024,5,0,100,0,8,0,6,0,0,0,0,1.64,0:01:50,110,210,6.4398,6,4672,3.06
MCAT Study 50,6/1/2024,2,0,100,0,1,0,0,0,0,0,0,2.39,0:01:45,105,93,2.7202,0,3556,2
MCAT Study 51,6/1/2024,1,0,100,0,2,0,3,0,0,0,0,2.38,0:01:41,101,139,3.9364,3,3907,2.69
MCAT Study 52,6/2/2024,2,1,100,0,14,1,3,0,0,0,0,2.11,0:01:16,76,579,12.3195,2,15032,2.78
MCAT Study 53,6/2/2024,3,0,100,0,7,0,2,0,0,0,0,3.45,0:02:02,122,176,5.9986,2,5400,2.22
MCAT Study 54,6/2/2024,4,2,100,0,10,0,4,0,0,0,0,5.82,0:01:40,100,283,7.9058,4,8876,2.22
MCAT Study 55,6/4/2024,17,0,93.75,2,30,0,11,0,0,0,0,1.63,0:02:33,153,707,30.0897,11,12339,3.94
MCAT Study 56,6/4/2024,5,0,100,0,9,0,2,0,0,0,0,2.25,0:02:31,151,304,12.8102,2,7597,2.86
MCAT Study 57,6/4/2024,5,0,100,0,2,0,0,0,0,0,0,2.15,0:01:45,105,142,4.1678,0,4213,2.07
MCAT Study 58,6/4/2024,8,0,100,0,26,0,6,0,0,0,0,2.16,0:02:10,130,604,21.8707,6,13744,3.28
MCAT Study 59,6/5/2024,1,0,100,0,4,0,1,0,0,0,0,1.41,0:00:55,55,92,1.4136,1,4022,1.57
MCAT Study 60,6/5/2024,0,0,100,0,3,0,0,0,0,0,0,4.61,0:02:51,171,69,3.2788,0,3650,1.32
MCAT Study 61,6/5/2024,3,0,100,0,5,1,0,0,0,0,0,1.46,0:01:24,84,150,3.5103,-1,5367,2.01
MCAT Study 62,6/6/2024,0,0,100,0,1,0,0,0,0,0,0,2.49,0:02:35,155,96,4.1456,0,3928,1.68
MCAT Study 63,6/6/2024,3,0,100,0,2,0,0,0,0,0,0,2.85,0:01:38,98,169,4.6252,0,4942,2.53
MCAT Study 64,6/7/2024,9,0,92.31,1,12,1,6,0,0,0,0,2.11,0:02:06,126,377,13.2388,5,6916,3.73
MCAT Study 65,6/8/2024,0,0,100,0,6,0,0,0,0,0,0,2.69,0:01:31,91,292,7.4281,0,6523,3.43
MCAT Study 66,6/8/2024,2,0,100,0,2,0,0,0,0,0,0,1.49,0:01:09,69,194,3.7331,0,5613,2.73
MCAT Study 67,6/8/2024,6,0,92.86,1,13,1,3,235,137,1.2258,372,2.76,0:01:35,95,456,12.1407,2,7630,4.06
MCAT Study 68,6/10/2024,3,0,100,0,8,1,3,0,0,0,0,1.16,0:01:47,107,388,11.5447,2,7159,3.99
MCAT Study 69,6/12/2024,5,1,100,0,17,0,3,0,0,0,0,1.36,0:01:47,107,737,22.1052,3,13109,3.87
MCAT Study 70,6/15/2024,2,1,100,0,15,0,13,0,0,0,0,1.35,0:01:25,85,1116,26.5432,13,18267,4.41
MCAT Study 71,6/18/2024,8,0,100,0,7,0,2,0,0,0,0,1.59,0:01:20,80,764,17.1439,2,13041,4.06
